Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
-0.0,0.707107,-0.0,0.707107,-0.057727,-0.344727,0.981384,0.074301,-0.488214,0.674989,0
-0.0,0.707107,-0.0,0.707107,-0.040655,-0.335504,1.056009,-1e-06,-0.399998,0.674989,0
0.0,0.707107,0.0,0.707107,0.017695,-0.391174,1.089521,-1e-06,-0.399998,0.674989,0
0.035256,0.706569,-0.030197,0.70612,0.026064,-0.433716,0.910959,-0.144912,-0.460229,0.67499,0
-0.01426,0.706927,0.016914,0.706941,0.069979,-0.363039,0.923369,-3.965271,0.66849,-11.083809,0
0.002087,0.70716,0.000839,0.70705,0.006596,-0.452454,1.030625,-4.1e-05,-0.402846,0.672579,0
0.042324,0.705833,-0.035357,0.706228,0.007307,-0.422205,0.853834,-0.155766,-0.271349,-16.008957,0
0.0049,0.707499,-0.00199,0.706695,0.018669,-0.385277,0.994684,-0.000201,-0.376265,0.675475,1
0.053353,0.704035,-0.049015,0.70646,0.007319,-0.404833,0.909888,0.000138,-0.418813,0.654243,1
-0.0,0.707107,-0.0,0.707107,-0.029175,-0.390726,1.060069,-1e-06,-0.399998,0.674989,0
0.011852,0.707779,-0.016953,0.706131,0.034864,-0.386056,0.903584,-4.3e-05,-0.397235,0.641567,0
-0.0,0.707107,-0.0,0.707107,-0.029097,-0.411786,1.077396,-1e-06,-0.399998,0.674989,0
0.0,0.707107,0.0,0.707107,-0.025302,-0.386784,1.139915,-1e-06,-0.399998,0.674989,0
0.001792,0.706924,-0.000522,0.707287,0.009637,-0.373876,0.981841,0.00041,-0.38246,0.672889,1
0.000525,0.707298,0.002319,0.706912,0.002814,-0.359623,0.981585,-0.000294,-0.354135,0.671541,1
0.0,0.707107,0.0,0.707107,-0.001424,-0.398999,1.140359,-1e-06,-0.399998,0.674989,0
-0.0,0.707107,-0.0,0.707107,0.022081,-0.380765,1.079392,-1e-06,-0.399998,0.674989,0
-0.00314,0.706969,0.009286,0.707177,0.000191,-0.418785,0.922795,-0.003597,-0.407505,0.640757,1
0.032495,0.706058,-0.030586,0.706747,-0.024562,-0.419989,0.908516,-0.000744,-0.422241,0.648866,1
0.008671,0.707953,-0.00367,0.706197,0.033949,-0.426189,0.952798,0.001989,-0.400013,0.65324,1
0.047586,0.705514,-0.043424,0.705761,0.056644,-0.42174,0.902232,-0.02356,-0.39054,0.67499,0
0.00416,0.707201,3e-06,0.707,0.027768,-0.4272,1.001933,0.000946,-0.40505,0.669311,0
0.0,0.707107,0.0,0.707107,-0.018359,-0.433328,1.121073,-1e-06,-0.399998,0.674989,0
-0.001018,0.707232,0.004845,0.706964,-0.03746,-0.433444,1.015175,-0.001571,-0.407372,0.672597,0
-0.046424,0.70558,0.052489,0.705157,-0.028698,-0.40505,0.862544,-0.281473,-0.657055,-13.321479,0
0.269712,0.652091,-0.277469,0.651954,0.046885,-0.457014,0.827425,-2.974103,4.651869,-16.588294,0
0.005011,0.706613,-0.0033,0.707575,-0.026092,-0.37729,0.965999,0.000151,-0.399026,0.67096,1
0.0,0.707107,0.0,0.707107,-0.003889,-0.410197,1.097711,-1e-06,-0.399998,0.674989,0
0.103407,0.696239,-0.099304,0.703347,0.019471,-0.404691,0.908152,-0.005236,-0.41338,0.662184,0
0.010148,0.707641,-0.010475,0.706422,0.016591,-0.355672,0.953048,0.004284,-0.375945,0.671328,1
0.019284,0.70817,-0.01422,0.705635,0.02206,-0.358532,0.920939,0.009646,-0.362045,0.66741,1
-0.029368,0.712234,0.032448,0.700577,0.00156,-0.384546,0.925494,-0.009786,-0.389099,0.672608,1
0.000588,0.70686,-0.001698,0.707351,-0.023899,-0.306454,0.980022,1.1e-05,-0.398347,0.673562,0
-0.085622,0.701741,0.093077,0.701117,0.009464,-0.449341,0.833222,0.454724,0.112094,-22.799732,0
0.0,0.707107,0.0,0.707107,0.010417,-0.34205,1.088715,-1e-06,-0.399998,0.674989,0
-0.002307,0.706963,0.006059,0.707221,-0.045745,-0.421682,0.959541,2.3e-05,-0.406708,0.673315,1
5.3e-05,0.707151,0.002849,0.707057,-0.040034,-0.406124,0.986354,4.9e-05,-0.400763,0.673558,1
-0.117181,0.696772,0.124957,0.696536,-0.041106,-0.427199,0.87432,0.119443,-0.495722,0.67499,0
-0.008159,0.707072,0.015281,0.706929,-0.032111,-0.442955,0.888871,0.083582,-0.328508,0.687136,0
0.00193,0.707196,8.9e-05,0.707015,-0.007872,-0.394049,0.988282,8e-05,-0.39439,0.674488,1
-0.006867,0.707022,0.003281,0.707151,-0.020152,-0.388676,0.911644,0.024814,-0.41268,0.650338,0
-0.002799,0.708586,0.007288,0.705582,-0.00066,-0.367795,0.928937,-0.000874,-0.376271,0.671771,1
0.013489,0.708134,-0.008361,0.7059,0.024663,-0.3991,0.938143,0.0005,-0.410998,0.655809,1
-0.000278,0.704569,-0.007817,0.709592,-0.051191,-0.401906,0.935503,0.074618,-0.47679,0.67499,0
0.023528,0.706648,-0.019066,0.706917,0.054861,-0.412108,0.908185,-0.069354,-0.493578,0.67499,0
0.0,0.707107,0.0,0.707107,0.026703,-0.370155,1.173329,-1e-06,-0.399998,0.674989,0
-0.0,0.707107,-0.0,0.707107,0.034494,-0.417935,1.083736,-1e-06,-0.399998,0.674989,0
0.00046,0.707114,0.000895,0.707099,0.011332,-0.37074,0.966509,0.000809,-0.386204,0.673549,1
0.000226,0.707073,-0.00024,0.707141,0.053112,-0.395372,0.978258,-0.049176,-0.380127,0.694578,0
0.0,0.707107,0.0,0.707107,-0.025015,-0.438363,1.093248,-1e-06,-0.399998,0.674989,0
0.0,0.707107,0.0,0.707107,-0.007121,-0.4171,1.126026,-1e-06,-0.399998,0.674989,0
